"Coach","Year","Rating","Rank"
"Frank Solich",2014,1497.36830790496,143
"Frank Solich",2015,1503.96012911774,118
"Frank Spaziani",2006,1560.1140145786,22
"Frank Spaziani",2009,1550.28643030696,39
"Frank Spaziani",2010,1533.13654057099,53
"Frank Spaziani",2011,1496.29924606162,117
"Frank Spaziani",2012,1416.47717165218,248
"Gary Andersen",2009,1462.65084188071,141
"Gary Andersen",2010,1440.86450242675,184
"Gary Andersen",2011,1469.21618007344,176
"Gary Andersen",2012,1562.51810057469,39
"Gary Andersen",2013,1584.51881365743,30
"Gary Andersen",2014,1624.93836119123,13
"Gary Andersen",2015,1497.25069964887,160
"Gary Barnett",2005,1508.72773132368,53
"Gary Darnell",2007,1508.20994774049,67
"Gary Patterson",2005,1587.09848268357,4
"Gary Patterson",2006,1613.37331513153,8
"Gary Patterson",2007,1594.26494126235,19
"Gary Patterson",2008,1628.69217068398,9
"Gary Patterson",2009,1666.15251818546,5
"Gary Patterson",2010,1700.18645891725,1
"Gary Patterson",2011,1686.37565366565,3
"Gary Patterson",2012,1603.43794596598,23
"Gary Patterson",2013,1527.38188020369,70
"Gary Patterson",2014,1629.3996081093,11
"Gary Patterson",2015,1658.84400650037,8
"Gary Pinkel",2005,1509.30130671147,52
"Gary Pinkel",2006,1519.03992906516,47
"Gary Pinkel",2007,1609.67664795736,10
"Gary Pinkel",2008,1603.09140998906,16
"Gary Pinkel",2009,1576.95358906465,25
"Gary Pinkel",2010,1605.53460158698,18
"Gary Pinkel",2011,1595.19212189916,24
"Gary Pinkel",2012,1543.6784785695,52
"Gary Pinkel",2013,1624.64946791827,17
"Gary Pinkel",2014,1647.97665101337,7
"Gary Pinkel",2015,1555.40714576076,49
"Gene Chizik",2007,1467.55504330861,113
"Gene Chizik",2008,1401.07522053119,164
"Gene Chizik",2009,1474.78626394777,126
"Gene Chizik",2010,1614.39714597431,14
"Gene Chizik",2011,1588.86751052192,26
"Gene Chizik",2012,1498.1553013901,121
"George Barlow",2011,1429.93404392762,225
"George O'Leary",2005,1515.51878989228,44
"George O'Leary",2006,1452.49549033591,102
"George O'Leary",2007,1516.21208356746,59
"George O'Leary",2008,1476.12321648655,114
"George O'Leary",2009,1507.49053139692,72
"George O'Leary",2010,1559.04917591818,33
"George O'Leary",2011,1514.46776637395,75
"George O'Leary",2012,1550.69477836568,46
"George O'Leary",2013,1632.21719642184,15
"George O'Leary",2014,1610.86694296834,19
"George O'Leary",2015,1455.37321364188,267
"Glen Mason",2005,1514.82712787884,45
"Glen Mason",2006,1497.49757516551,68
"Greg McMackin",2008,1488.94250388867,99
"Greg McMackin",2009,1477.24005054945,121
"Greg McMackin",2010,1522.50677273843,61
"Greg McMackin",2011,1490.11608823575,134
"Greg Robinson",2005,1422.08103922577,119
"Greg Robinson",2006,1425.29546972415,123
"Greg Robinson",2007,1385.15703816173,159
"Greg Robinson",2008,1384.74995637943,166
"Greg Schiano",2005,1506.57375338603,55
"Greg Schiano",2006,1571.96683556036,18
"Greg Schiano",2007,1554.29931270028,31
"Greg Schiano",2008,1554.2222536964,34
"Greg Schiano",2009,1551.1594942441,37
"Greg Schiano",2010,1469.99318665429,152
"Greg Schiano",2011,1528.58685509084,60
"Gregg Brandon",2005,1504.73015657335,57
"Gregg Brandon",2006,1447.40422783733,111
"Gregg Brandon",2007,1489.32411714043,91
"Gregg Brandon",2008,1481.94062475328,107
"Gus Malzahn",2012,1550.93153060199,44
"Gus Malzahn",2013,1638.96438391312,12
"Gus Malzahn",2014,1597.94787974758,28
"Gus Malzahn",2015,1567.66617915387,39
"Guy Morriss",2005,1483.0770011371,81
"Guy Morriss",2006,1452.03400839269,104
"Guy Morriss",2007,1418.13942078973,148
"Hal Clay Mumme",2005,1386.43091072839,124
"Hal Clay Mumme",2006,1382.76048651197,136
"Hal Clay Mumme",2007,1369.81326755272,161
"Hal Clay Mumme",2008,1358.68665577681,175
"Houston Nutt",2005,1470.71173364098,95
"Houston Nutt",2006,1539.82911240568,36
"Houston Nutt",2007,1546.45239546968,36
"Houston Nutt",2008,1575.86991980855,25
"Houston Nutt",2009,1567.69503932775,30
"Houston Nutt",2010,1514.00854956251,71
"Houston Nutt",2011,1441.72390340989,217
